#Parameters = {A_R=0.4; A_i=0; A_j=-65; A_k=0; B10_i=24; B10_j=19; B10_k=0.15; B1_i=24; B1_j=24; B1_k=6; B2_i=20; B2_j=14; B2_k=3.9; B3_i=26.8; B3_j=3; B3_k=4.3; B4_i=21; B4_j=8; B5_i=7.9; B5_j=9; B5_k=3; B6_i=7.2; B6_j=6.5; B6_k=2.1; B7_i=6; B7_j=6; B7_k=3; B8_i=18; B8_j=13; B8_k=2.8; B9_i=25; B9_j=24; B9_k=0.8; PV10_i=-12; PV10_j=-7; PV10_k=1.2; PV1_i=-12; PV1_j=-12; PV1_k=2.5; PV2_i=-10; PV2_j=-30.5; PV2_k=2.5; PV3_i=-13.5; PV3_j=37.5; PV3_k=0.7; PV4_i=-10; PV4_j=-45; PV4_k=1.5; PV5_i=7; PV5_j=17.5; PV5_k=3.3; PV6_i=-11.6; PV6_j=17.8; PV6_k=3.1; PV7_i=6; PV7_j=28; PV7_k=3.2; PV8_i=-9; PV8_j=22; PV8_k=-1.7; PV9_i=-12.5; PV9_j=13.5; PV9_k=2.4; PVA_i=-13.2; PVA_j=37; PVA_k=0; b4_k=6}
#"Frequency / MHz"	"S1,1 [Magnitude]"
#------------------------------------
500.00000000000	-0.019180025333771
502.50000000000	-0.017146139891629
505.00000000000	-0.013875888736257
507.50000000000	-0.0099365862349735
510.00000000000	-0.0059929780209106
512.50000000000	-0.0026995317196163
515.00000000000	-0.00058971583564090
517.50000000000	-5.6084776461177e-07
520.00000000000	-0.0010110947833034
522.50000000000	-0.0034411739384186
525.00000000000	-0.0068829595158497
527.50000000000	-0.010767853661669
530.00000000000	-0.014465669227140
532.50000000000	-0.017384087005867
535.00000000000	-0.019067512491862
537.50000000000	-0.019271447648774
540.00000000000	-0.017996949028867
542.50000000000	-0.015488882153913
545.00000000000	-0.012193334735288
547.50000000000	-0.0086728186517989
550.00000000000	-0.0055232211275671
552.50000000000	-0.0032609723362916
555.00000000000	-0.0022585325161044
557.50000000000	-0.0026726450553905
560.00000000000	-0.0044290373951245
562.50000000000	-0.0072368381345123
565.00000000000	-0.010638761088007
567.50000000000	-0.014086304683410
570.00000000000	-0.017034849652879
572.50000000000	-0.019026898846158
575.00000000000	-0.019766160132981
577.50000000000	-0.019172160216654
580.00000000000	-0.017380687848122
582.50000000000	-0.014724853247248
585.00000000000	-0.011670509106664
587.50000000000	-0.0087458774614290
590.00000000000	-0.0064443004987166
