#Parameters = {A_R=0.4; A_i=0; A_j=-65; A_k=0; B10_i=24; B10_j=19; B10_k=0.15; B1_i=24; B1_j=24; B1_k=6; B2_i=20; B2_j=14; B2_k=3.9; B3_i=26.8; B3_j=3; B3_k=4.3; B4_i=21; B4_j=8; B5_i=7.9; B5_j=9; B5_k=3; B6_i=7.2; B6_j=6.5; B6_k=2.1; B7_i=6; B7_j=6; B7_k=3; B8_i=18; B8_j=13; B8_k=2.8; B9_i=25; B9_j=24; B9_k=0.8; PV10_i=-12; PV10_j=-7; PV10_k=1.2; PV1_i=-12; PV1_j=-12; PV1_k=2.5; PV2_i=-10; PV2_j=-30.5; PV2_k=2.5; PV3_i=-13.5; PV3_j=37.5; PV3_k=0.7; PV4_i=-10; PV4_j=-45; PV4_k=1.5; PV5_i=7; PV5_j=17.5; PV5_k=3.3; PV6_i=-11.6; PV6_j=17.8; PV6_k=3.1; PV7_i=6; PV7_j=28; PV7_k=3.2; PV8_i=-9; PV8_j=22; PV8_k=-1.7; PV9_i=-12.5; PV9_j=13.5; PV9_k=2.4; PVA_i=-13.2; PVA_j=37; PVA_k=0; b4_k=6}
#"Frequency / MHz"	"S1,1 [Magnitude]"
#------------------------------------
500.00000000000	-0.10183022914588
502.50000000000	-0.090071196570808
505.00000000000	-0.078303101861766
507.50000000000	-0.066560104814161
510.00000000000	-0.054876524982879
512.50000000000	-0.043284507305001
515.00000000000	-0.031817277083308
517.50000000000	-0.020506031605010
520.00000000000	-0.0093791752509767
522.50000000000	0.0015345836111961
525.00000000000	0.012204631382274
527.50000000000	0.022609726104158
530.00000000000	0.032719623362889
532.50000000000	0.042512966756095
535.00000000000	0.051966243370156
537.50000000000	0.061058684599493
540.00000000000	0.069769821045276
542.50000000000	0.078080580777876
545.00000000000	0.085974359983076
547.50000000000	0.093432160127020
550.00000000000	0.10044408873869
552.50000000000	0.10699287585077
555.00000000000	0.11306708262086
557.50000000000	0.11865508470653
560.00000000000	0.12375007680997
562.50000000000	0.12834126383059
565.00000000000	0.13242207353324
567.50000000000	0.13598525149194
570.00000000000	0.13902998641264
572.50000000000	0.14154909006012
575.00000000000	0.14354437497370
577.50000000000	0.14501204127577
580.00000000000	0.14595157597656
582.50000000000	0.14636691370220
585.00000000000	0.14625894110694
587.50000000000	0.14563148160306
590.00000000000	0.14449015785380
592.50000000000	0.14284020474761
595.00000000000	0.14068941830988
597.50000000000	0.13804236264428
600.00000000000	0.13491120637653
602.50000000000	0.13130392156496
605.00000000000	0.12723316383144
607.50000000000	0.12270650788470
610.00000000000	0.11774006822266
612.50000000000	0.11234511014628
615.00000000000	0.10653580363520
617.50000000000	0.10032759675162
620.00000000000	0.093734572106226
622.50000000000	0.086774296233179
625.00000000000	0.079463009442816
627.50000000000	0.071818212940315
630.00000000000	0.063857906177017
632.50000000000	0.055599101707726
635.00000000000	0.047062823301317
637.50000000000	0.038266715052125
640.00000000000	0.029231648384239
642.50000000000	0.019977113842935
645.00000000000	0.010523322240041
647.50000000000	0.00089217576233573
650.00000000000	-0.0088973204358442
652.50000000000	-0.018822669056626
655.00000000000	-0.028863896889165
657.50000000000	-0.038998715728562
660.00000000000	-0.049207209945568
662.50000000000	-0.059468079731009
665.00000000000	-0.069760055816644
667.50000000000	-0.080061954544120
670.00000000000	-0.090353877296362
672.50000000000	-0.10061636928344
675.00000000000	-0.11082751870643
677.50000000000	-0.12096771267827
680.00000000000	-0.13102063614603
682.50000000000	-0.14096524447686
685.00000000000	-0.15078390246229
687.50000000000	-0.16046039171626
690.00000000000	-0.16997646489075
692.50000000000	-0.17931731397340
695.00000000000	-0.18846617562691
697.50000000000	-0.19741127781765
700.00000000000	-0.20613422084293
702.50000000000	-0.21462489525692
705.00000000000	-0.22287155132773
707.50000000000	-0.23086317649353
710.00000000000	-0.23858908257965
712.50000000000	-0.24604098170317
715.00000000000	-0.25321086363339
717.50000000000	-0.26009137926102
720.00000000000	-0.26667697186063
722.50000000000	-0.27296241898691
725.00000000000	-0.27894568813874
727.50000000000	-0.28462330397977
730.00000000000	-0.28999275701821
732.50000000000	-0.29505610240693
735.00000000000	-0.29981258047080
737.50000000000	-0.30426563826636
740.00000000000	-0.30841694252917
742.50000000000	-0.31227143341132
745.00000000000	-0.31583428686321
747.50000000000	-0.31911316350659
750.00000000000	-0.32211229711042
752.50000000000	-0.32484399376597
755.00000000000	-0.32731476847280
757.50000000000	-0.32953682014871
760.00000000000	-0.33151911863843
762.50000000000	-0.33327639964010
765.00000000000	-0.33482042043585
767.50000000000	-0.33616470948788
770.00000000000	-0.33732380968506
772.50000000000	-0.33831361869367
775.00000000000	-0.33915062340485
777.50000000000	-0.33984963172393
780.00000000000	-0.34042776318089
782.50000000000	-0.34090414079993
785.00000000000	-0.34129600527999
787.50000000000	-0.34162114432881
790.00000000000	-0.34189994835633
792.50000000000	-0.34215034644000
795.00000000000	-0.34239164932026
797.50000000000	-0.34264434539964
800.00000000000	-0.34292844831307
802.50000000000	-0.34326304245815
805.00000000000	-0.34366977390534
807.50000000000	-0.34416614678106
810.00000000000	-0.34477536232223
812.50000000000	-0.34551564151073
815.00000000000	-0.34640663665807
817.50000000000	-0.34746971982776
820.00000000000	-0.34872386109565
822.50000000000	-0.35018843185920
825.00000000000	-0.35188352437263
827.50000000000	-0.35382760633192
830.00000000000	-0.35603865411054
832.50000000000	-0.35853648709750
835.00000000000	-0.36133877538432
837.50000000000	-0.36446366621668
840.00000000000	-0.36792796022087
842.50000000000	-0.37174794139554
845.00000000000	-0.37594102053312
