#Parameters = {A_R=0.4; A_i=0; A_j=-65; A_k=0; B10_i=24; B10_j=19; B10_k=0.15; B1_i=24; B1_j=24; B1_k=6; B2_i=20; B2_j=14; B2_k=3.9; B3_i=26.8; B3_j=3; B3_k=4.3; B4_i=21; B4_j=8; B5_i=7.9; B5_j=9; B5_k=3; B6_i=7.2; B6_j=6.5; B6_k=2.1; B7_i=6; B7_j=6; B7_k=3; B8_i=18; B8_j=13; B8_k=2.8; B9_i=25; B9_j=24; B9_k=0.8; PV10_i=-12; PV10_j=-7; PV10_k=1.2; PV1_i=-12; PV1_j=-12; PV1_k=2.5; PV2_i=-10; PV2_j=-30.5; PV2_k=2.5; PV3_i=-13.5; PV3_j=37.5; PV3_k=0.7; PV4_i=-10; PV4_j=-45; PV4_k=1.5; PV5_i=7; PV5_j=17.5; PV5_k=3.3; PV6_i=-11.6; PV6_j=17.8; PV6_k=3.1; PV7_i=6; PV7_j=28; PV7_k=3.2; PV8_i=-9; PV8_j=22; PV8_k=-1.7; PV9_i=-12.5; PV9_j=13.5; PV9_k=2.4; PVA_i=-13.2; PVA_j=37; PVA_k=0; b4_k=6}
#"Frequency / MHz"	"S1,1 [Magnitude]"
#------------------------------------
500.00000000000	-0.011747922888162
502.50000000000	-0.012097226082610
505.00000000000	-0.012026737989846
507.50000000000	-0.011550800001937
510.00000000000	-0.010709027533086
512.50000000000	-0.0095630135089899
515.00000000000	-0.0081892420092877
517.50000000000	-0.0066821304400444
520.00000000000	-0.0051382504690849
522.50000000000	-0.0036583749850768
525.00000000000	-0.0023338831745025
527.50000000000	-0.0012483742953169
530.00000000000	-0.00047036094978508
532.50000000000	-4.5871774120211e-05
535.00000000000	-6.5136802743312e-08
537.50000000000	-0.00033473349592741
540.00000000000	-0.0010301999813764
542.50000000000	-0.0020423766718515
545.00000000000	-0.0033128993212553
547.50000000000	-0.0047640456230603
550.00000000000	-0.0063102843772356
552.50000000000	-0.0078646184575499
555.00000000000	-0.0093357664511773
557.50000000000	-0.010641484251762
560.00000000000	-0.011711835135182
562.50000000000	-0.012490878923531
565.00000000000	-0.012943255965926
567.50000000000	-0.013050000139370
570.00000000000	-0.012818963874480
572.50000000000	-0.012273474787801
575.00000000000	-0.011459181101099
577.50000000000	-0.010437568666692
580.00000000000	-0.0092807930128411
582.50000000000	-0.0080686649070707
585.00000000000	-0.0068816216537431
587.50000000000	-0.0058015378565868
590.00000000000	-0.0048975239113833
592.50000000000	-0.0042317037748263
595.00000000000	-0.0038494564922638
597.50000000000	-0.0037775370925324
600.00000000000	-0.0040246371344966
602.50000000000	-0.0045828771049758
605.00000000000	-0.0054193792541025
607.50000000000	-0.0064931267320885
610.00000000000	-0.0077431649676119
612.50000000000	-0.0091037743269659
615.00000000000	-0.010500453706095
617.50000000000	-0.011859054099573
620.00000000000	-0.013108531102632
622.50000000000	-0.014186317811577
625.00000000000	-0.015040239129485
627.50000000000	-0.015634272383080
630.00000000000	-0.015945892364870
632.50000000000	-0.015973388210488
635.00000000000	-0.015732119908197
637.50000000000	-0.015250764482835
640.00000000000	-0.014574894810694
642.50000000000	-0.013762683515628
645.00000000000	-0.012877073037467
647.50000000000	-0.011984812291516
650.00000000000	-0.011155742990193
652.50000000000	-0.010451503254506
655.00000000000	-0.0099288498532002
657.50000000000	-0.0096310712200206
660.00000000000	-0.0095889624301965
662.50000000000	-0.0098166525978234
665.00000000000	-0.010314179101461
667.50000000000	-0.011065647812681
670.00000000000	-0.012038607715711
672.50000000000	-0.013191170442295
675.00000000000	-0.014469636109303
677.50000000000	-0.015814865518097
680.00000000000	-0.017164153613078
682.50000000000	-0.018457016282288
685.00000000000	-0.019636308453123
687.50000000000	-0.020654325994649
690.00000000000	-0.021473219559875
692.50000000000	-0.022066489874231
695.00000000000	-0.022425147565750
697.50000000000	-0.022553062281857
700.00000000000	-0.022468680001780
702.50000000000	-0.022200703436238
705.00000000000	-0.021795875041594
707.50000000000	-0.021300157195341
710.00000000000	-0.020772180535232
712.50000000000	-0.020270411385850
715.00000000000	-0.019847225512366
717.50000000000	-0.019557231861873
720.00000000000	-0.019442458436874
722.50000000000	-0.019538019844277
725.00000000000	-0.019863121992910
727.50000000000	-0.020426088885308
730.00000000000	-0.021224133720891
732.50000000000	-0.022237002301790
735.00000000000	-0.023438207872047
737.50000000000	-0.024785496903042
740.00000000000	-0.026236415376956
742.50000000000	-0.027735666995785
745.00000000000	-0.029234150769963
747.50000000000	-0.030679691596992
750.00000000000	-0.032028672576927
752.50000000000	-0.033238824998637
755.00000000000	-0.034285201533495
757.50000000000	-0.035147335235938
760.00000000000	-0.035820193814822
762.50000000000	-0.036308714388398
765.00000000000	-0.036632919025976
767.50000000000	-0.036821974846890
770.00000000000	-0.036911022051293
772.50000000000	-0.036946133532369
775.00000000000	-0.036974919106925
777.50000000000	-0.037045294380648
780.00000000000	-0.037205199112054
782.50000000000	-0.037498387419834
785.00000000000	-0.037961153035957
787.50000000000	-0.038621443694505
790.00000000000	-0.039496274470661
792.50000000000	-0.040591821915314
795.00000000000	-0.041905585601455
797.50000000000	-0.043420497317918
800.00000000000	-0.045111814838345
802.50000000000	-0.046949592706959
805.00000000000	-0.048892225507638
807.50000000000	-0.050897289176568
810.00000000000	-0.052922847648343
