#Parameters = {GP_thickness=0.2; c=300000000; copper_width=0.508; copperthickness=0.3; f=1900000000; feed_length=6.9342; lambda=0.15789473684211; line11_length=2.5; line13_length=2.5; line1_length=5; line2_length=2.5; line3_length=2.5; line5_length=2.5; line7_length=2.5; line9_length=2.5; meander_length=1.192; meander_width=0.508; pcb_thickness=0.8; tip_length=4.191; tip_width=0.508}
#"Frequency / MHz"	"S1,1_(line1_length=4) [Magnitude]"
#-----------------------------------------------------
500.00000000000	-0.069911692419268
504.50000000000	-0.070981495541197
509.00000000000	-0.067826047082873
513.50000000000	-0.061288461306745
518.00000000000	-0.052519610847495
522.50000000000	-0.042762153121839
527.00000000000	-0.033141701598099
531.50000000000	-0.024518636692395
536.00000000000	-0.017408271302256
540.50000000000	-0.011979228173321
545.00000000000	-0.0081114659458212
549.50000000000	-0.0055028522921504
554.00000000000	-0.0037878752824304
558.50000000000	-0.0026426927038744
563.00000000000	-0.0018601817080285
567.50000000000	-0.0013741020663058
572.00000000000	-0.0012371059811204
576.50000000000	-0.0015693813835273
581.00000000000	-0.0024748509035879
585.50000000000	-0.0039826282114541
590.00000000000	-0.0059847351516374
594.50000000000	-0.0082384465594549
599.00000000000	-0.010392463457923
603.50000000000	-0.012053882780880
608.00000000000	-0.012873142461105
612.50000000000	-0.012630413681480
617.00000000000	-0.011299436818952
621.50000000000	-0.0090672104817679
626.00000000000	-0.0063180615446820
630.50000000000	-0.0035621131084363
635.00000000000	-0.0013380208026751
639.50000000000	-0.00010549561793426
644.00000000000	-0.00014618717402101
648.50000000000	-0.0015007979348278
653.00000000000	-0.0039492394836915
657.50000000000	-0.0070487144814519
662.00000000000	-0.010211844610205
666.50000000000	-0.012821314575035
671.00000000000	-0.014355545038337
675.50000000000	-0.014496970925765
680.00000000000	-0.013202599567103
684.50000000000	-0.010714593568876
689.00000000000	-0.0075210935275118
693.50000000000	-0.0042590412761494
698.00000000000	-0.0015874272664505
702.50000000000	-5.8277453007219e-05
707.00000000000	-2.8594164448552e-07
711.50000000000	-0.0014561573044736
716.00000000000	-0.0041666775854437
720.50000000000	-0.0076200046744571
725.00000000000	-0.011148365686520
729.50000000000	-0.014061590355822
734.00000000000	-0.015783535013100
738.50000000000	-0.015974409927383
743.00000000000	-0.014598872688839
747.50000000000	-0.011939164389413
752.00000000000	-0.0085377565295827
756.50000000000	-0.0050925513556255
761.00000000000	-0.0023144929291830
765.50000000000	-0.00078939076373400
770.00000000000	-0.00085515428311585
774.50000000000	-0.0025377727709913
779.00000000000	-0.0055399613841960
783.50000000000	-0.0092997837433257
788.00000000000	-0.013097630320550
792.50000000000	-0.016200681427202
797.00000000000	-0.018006963223969
801.50000000000	-0.018174607496768
806.00000000000	-0.016691711220695
810.50000000000	-0.013879268199974
815.00000000000	-0.010332202129209
819.50000000000	-0.0068002612792124
824.00000000000	-0.0040366545485684
828.50000000000	-0.0026475613497822
833.00000000000	-0.0029726956738893
837.50000000000	-0.0050139068174418
842.00000000000	-0.0084304135115784
846.50000000000	-0.012606940431305
851.00000000000	-0.016767487943353
855.50000000000	-0.020131620835386
860.00000000000	-0.022075704827935
864.50000000000	-0.022256022130525
869.00000000000	-0.020688072645648
873.50000000000	-0.017741168615089
878.00000000000	-0.014075206940868
882.50000000000	-0.010503847917231
887.00000000000	-0.0078342579333568
891.50000000000	-0.0067072449613271
896.00000000000	-0.0074670763045464
900.50000000000	-0.010089271205516
905.00000000000	-0.014179071996375
909.50000000000	-0.019049008385131
914.00000000000	-0.023845900814466
918.50000000000	-0.027721922546439
923.00000000000	-0.030005650981223
927.50000000000	-0.030345512225769
932.00000000000	-0.028783102059530
936.50000000000	-0.025755559343472
941.00000000000	-0.022013362621466
945.50000000000	-0.018467314562879
950.00000000000	-0.016019978774059
954.50000000000	-0.015373027981672
959.00000000000	-0.016893961554965
963.50000000000	-0.020534166575920
968.00000000000	-0.025827648553817
972.50000000000	-0.031978599182277
977.00000000000	-0.038003462727933
981.50000000000	-0.042937878570258
986.00000000000	-0.046019368208303
990.50000000000	-0.046853003355761
995.00000000000	-0.045512425777082
999.50000000000	-0.042524644300552
1004.0000000000	-0.038782719916608
1008.5000000000	-0.035378452857690
1013.0000000000	-0.033380964561684
1017.5000000000	-0.033626891009985
1022.0000000000	-0.036555534104998
1026.5000000000	-0.042101480616436
1031.0000000000	-0.049694913495661
1035.5000000000	-0.058355366794684
1040.0000000000	-0.066864750686202
1044.5000000000	-0.074009960971456
1049.0000000000	-0.078817848334752
1053.5000000000	-0.080778688994518
1058.0000000000	-0.079964319593105
1062.5000000000	-0.077044927440071
1067.0000000000	-0.073179136374979
1071.5000000000	-0.069808241082000
1076.0000000000	-0.068377403563266
1080.5000000000	-0.070063109227154
1085.0000000000	-0.075519717639543
1089.5000000000	-0.084736461756117
1094.0000000000	-0.096988130216902
1098.5000000000	-0.11092848146806
1103.0000000000	-0.12480055056642
1107.5000000000	-0.13675062667794
1112.0000000000	-0.14518490536783
1116.5000000000	-0.14911697751365
1121.0000000000	-0.14841589276096
1125.5000000000	-0.14391490284468
1130.0000000000	-0.13733989218530
1134.5000000000	-0.13107131739688
1139.0000000000	-0.12777469866810
1143.5000000000	-0.12997881528656
1148.0000000000	-0.13965190022726
1152.5000000000	-0.15786559691347
1157.0000000000	-0.18454134302844
1161.5000000000	-0.21836728287590
1166.0000000000	-0.25687203574563
1170.5000000000	-0.29666456766258
1175.0000000000	-0.33384767564851
1179.5000000000	-0.36455152671052
1184.0000000000	-0.38551120808437
1188.5000000000	-0.39460000120681
1193.0000000000	-0.39118776704216
1197.5000000000	-0.37625003549851
1202.0000000000	-0.35220738523255
1206.5000000000	-0.32251868530025
1211.0000000000	-0.29114031153424
1215.5000000000	-0.26195197881049
1220.0000000000	-0.23825550141236
1224.5000000000	-0.22239610675869
1229.0000000000	-0.21555713905595
1233.5000000000	-0.21770835501504
1238.0000000000	-0.22771750751637
1242.5000000000	-0.24358374441891
1247.0000000000	-0.26277193162337
1251.5000000000	-0.28260732394258
1256.0000000000	-0.30066331731857
1260.5000000000	-0.31510958049565
1265.0000000000	-0.32493116912443
1269.5000000000	-0.33000767491055
1274.0000000000	-0.33103087844961
1278.5000000000	-0.32929331838448
1283.0000000000	-0.32639210134575
1287.5000000000	-0.32391255939872
1292.0000000000	-0.32315670415466
1296.5000000000	-0.32493894235484
1301.0000000000	-0.32949813477020
1305.5000000000	-0.33651901444591
1310.0000000000	-0.34523018170576
1314.5000000000	-0.35459231320914
1319.0000000000	-0.36350825993512
1323.5000000000	-0.37103545832111
1328.0000000000	-0.37654583832821
1332.5000000000	-0.37983270214485
1337.0000000000	-0.38111159175754
1341.5000000000	-0.38095328271756
1346.0000000000	-0.38015082336090
1350.5000000000	-0.37954996703834
1355.0000000000	-0.37989583089762
1359.5000000000	-0.38169025469860
1364.0000000000	-0.38512358958887
1368.5000000000	-0.39005734739288
1373.0000000000	-0.39607628099096
1377.5000000000	-0.40258166210807
1382.0000000000	-0.40891946388472
1386.5000000000	-0.41450715394028
1391.0000000000	-0.41894799627339
1395.5000000000	-0.42209461431355
1400.0000000000	-0.42406884439821
1404.5000000000	-0.42522007264144
1409.0000000000	-0.42605142154294
1413.5000000000	-0.42711129599842
1418.0000000000	-0.42889077439073
1422.5000000000	-0.43173015795131
1427.0000000000	-0.43576410767831
1431.5000000000	-0.44090617481233
1436.0000000000	-0.44688185248209
1440.5000000000	-0.45328376552054
1445.0000000000	-0.45966404624194
1449.5000000000	-0.46561914962313
1454.0000000000	-0.47087104819928
1458.5000000000	-0.47531286134369
1463.0000000000	-0.47903161578124
1467.5000000000	-0.48227216691612
1472.0000000000	-0.48539344291941
1476.5000000000	-0.48879478144813
1481.0000000000	-0.49283425245351
1485.5000000000	-0.49776318480729
1490.0000000000	-0.50368685998339
1494.5000000000	-0.51054703233300
1499.0000000000	-0.51814292905118
1503.5000000000	-0.52617499512394
1508.0000000000	-0.53431081159280
1512.5000000000	-0.54224805856939
1517.0000000000	-0.54977611715906
1521.5000000000	-0.55681574192384
1526.0000000000	-0.56343051312063
1530.5000000000	-0.56981362141354
1535.0000000000	-0.57624850662171
1539.5000000000	-0.58304735144024
1544.0000000000	-0.59049939058654
1548.5000000000	-0.59881336874603
1553.0000000000	-0.60808130863029
1557.5000000000	-0.61826795955911
1562.0000000000	-0.62922433000719
1566.5000000000	-0.64071737212480
1571.0000000000	-0.65248620752547
1575.5000000000	-0.66428809947210
1580.0000000000	-0.67595355078387
1584.5000000000	-0.68742026856700
1589.0000000000	-0.69874288301390
1593.5000000000	-0.71008513777485
1598.0000000000	-0.72169213998246
1602.5000000000	-0.73383910347779
1607.0000000000	-0.74678675307462
1611.5000000000	-0.76073190524990
1616.0000000000	-0.77577899693735
1620.5000000000	-0.79192063682308
1625.0000000000	-0.80904701391343
1629.5000000000	-0.82697662999491
1634.0000000000	-0.84549246099905
1638.5000000000	-0.86439057833977
1643.0000000000	-0.88352530353454
1647.5000000000	-0.90284395643170
1652.0000000000	-0.92240386275719
1656.5000000000	-0.94236503275708
1661.0000000000	-0.96297196801814
1665.5000000000	-0.98451120397310
1670.0000000000	-1.0072600115183
1674.5000000000	-1.0314546118793
1679.0000000000	-1.0572464590091
1683.5000000000	-1.0846789022795
1688.0000000000	-1.1136951463651
1692.5000000000	-1.1441579311557
1697.0000000000	-1.1758813853013
1701.5000000000	-1.2086826056528
1706.0000000000	-1.2424292920745
1710.5000000000	-1.2770795397108
1715.0000000000	-1.3127154839416
1719.5000000000	-1.3495419553706
1724.0000000000	-1.3878760337268
1728.5000000000	-1.4281099025628
1733.0000000000	-1.4706619826872
1737.5000000000	-1.5159168156566
1742.0000000000	-1.5641689723320
1746.5000000000	-1.6155769824600
1751.0000000000	-1.6701350575363
1755.5000000000	-1.7276667303039
1760.0000000000	-1.7878407461058
1764.5000000000	-1.8502099273424
1769.0000000000	-1.9142789912938
1773.5000000000	-1.9795643417779
1778.0000000000	-2.0456707094775
1782.5000000000	-2.1123531119801
1787.0000000000	-2.1795771051162
1791.5000000000	-2.2475319573056
1796.0000000000	-2.3166394773063
1800.5000000000	-2.3875389022303
1805.0000000000	-2.4610274593828
1809.5000000000	-2.5380150054825
1814.0000000000	-2.6194537316217
1818.5000000000	-2.7062792879035
1823.0000000000	-2.7993490136592
1827.5000000000	-2.8994077516765
1832.0000000000	-3.0070498000698
1836.5000000000	-3.1227152460565
1841.0000000000	-3.2466896183356
1845.5000000000	-3.3791172898477
1850.0000000000	-3.5200193503859
1854.5000000000	-3.6693324636420
1859.0000000000	-3.8269268040090
1863.5000000000	-3.9926336404589
1868.0000000000	-4.1662706333602
1872.5000000000	-4.3476495766997
1877.0000000000	-4.5365748431170
1881.5000000000	-4.7328393733765
1886.0000000000	-4.9361925515303
1890.5000000000	-5.1463148317754
1895.0000000000	-5.3627643378184
1899.5000000000	-5.5849205942907
1904.0000000000	-5.8119233554768
1908.5000000000	-6.0426059735592
1913.0000000000	-6.2754218899447
1917.5000000000	-6.5083891121075
1922.0000000000	-6.7390478479897
1926.5000000000	-6.9644407954773
