#
#"Theta / deg"	"farfield (f=.81)phi=0,norm [Mag]"	"farfield (f=.81)phi=0,norm [Pha in deg.]"
#-------------------------------------------------------------------------------------------
0.0000000000000	34.069228940022	-90.000000000000
1.0000000000000	32.622064284099	-88.243374299235
2.0000000000000	28.830503823594	-86.022141406460
3.0000000000000	25.802707387654	-83.323298498454
4.0000000000000	23.557780258349	-80.224083320423
5.0000000000000	21.870503126126	-76.784253647943
6.0000000000000	20.593588418279	-73.061035424113
7.0000000000000	19.637251967930	-69.116720623292
8.0000000000000	18.943961555128	-65.020235173362
9.0000000000000	18.473976731728	-60.845140681627
10.000000000000	18.197495620021	-56.665487946880
11.000000000000	18.090399666718	-52.550833036741
12.000000000000	18.131999838306	-48.561681892455
13.000000000000	18.303915158143	-44.746322192870
14.000000000000	18.589573745725	-41.139472690694
15.000000000000	18.974024437365	-37.762641372966
16.000000000000	19.443872917133	-34.625725205856
17.000000000000	19.987241939221	-31.729269280903
18.000000000000	20.593711536104	-29.066877506031
19.000000000000	21.254228275751	-26.627429934989
20.000000000000	21.960988914409	-24.396929070736
21.000000000000	22.707309350802	-22.359924846464
22.000000000000	23.487489629281	-20.500545618290
23.000000000000	24.296683238041	-18.803199017313
24.000000000000	25.130776004136	-17.253015898127
25.000000000000	25.986277363181	-15.836105271951
26.000000000000	26.860224937449	-14.539676591947
27.000000000000	27.750102159293	-13.352073047750
28.000000000000	28.653767989211	-12.262748050472
29.000000000000	29.569397448010	-11.262207728919
30.000000000000	30.495431583167	-10.341935085210
31.000000000000	31.430535526466	-9.4943061937379
32.000000000000	32.373563409257	-8.7125050868919
33.000000000000	33.323529042224	-7.9904413828004
34.000000000000	34.279581414052	-7.3226729621721
35.000000000000	35.240984204187	-6.7043348489565
36.000000000000	36.207098632352	-6.1310747108077
37.000000000000	37.177369079175	-5.5989949384669
38.000000000000	38.151311007963	-5.1046009950278
39.000000000000	39.128500798445	-4.6447555818809
40.000000000000	40.108567170841	-4.2166381037037
41.000000000000	41.091183934639	-3.8177089002037
42.000000000000	42.076063842735	-3.4456777275600
43.000000000000	43.062953369750	-3.0984760045072
44.000000000000	44.051628264631	-2.7742323783503
45.000000000000	45.041889753440	-2.4712512095643
46.000000000000	46.033561289344	-2.1879936167563
47.000000000000	47.026485764247	-1.9230607648036
48.000000000000	48.020523110791	-1.6751791169005
49.000000000000	49.015548235240	-1.4431874056386
50.000000000000	50.011449231510	-1.2260251090049
51.000000000000	51.008125834621	-1.0227222444512
52.000000000000	52.005488078539	-0.83239031816309
53.000000000000	53.003455128876	-0.65421428766680
54.000000000000	54.001954265543	-0.48744541422592
55.000000000000	55.000919994259	-0.33139489742034
56.000000000000	56.000293269040	-0.18542819814675
57.000000000000	57.000020810475	-0.048959968291604
58.000000000000	58.000054506815	0.078550484255028
59.000000000000	59.000350886858	0.19760325754430
60.000000000000	60.000870655130	0.30866149894182
61.000000000000	61.001578281277	0.41215467760476
62.000000000000	62.002441636689	0.50848152784431
63.000000000000	63.003431672359	0.59801270003229
64.000000000000	64.004522132793	0.68109315126088
65.000000000000	65.005689301506	0.75804430408906
66.000000000000	66.006911774226	0.82916599833548
67.000000000000	67.008170256445	0.89473825793373
68.000000000000	68.009447382393	0.95502289229665
69.000000000000	69.010727552900	1.0102649493889
70.000000000000	70.011996789925	1.0606940357404
71.000000000000	71.013242605811	1.1065255169093
72.000000000000	72.014453885583	1.1479616103908
73.000000000000	73.015620780791	1.1851923816372
74.000000000000	74.016734613622	1.2183966526845
75.000000000000	75.017787790100	1.2477428318532
76.000000000000	76.018773721411	1.2733896720733
77.000000000000	77.019686752435	1.2954869645913
78.000000000000	78.020522096721	1.3141761740927
79.000000000000	79.021275777219	1.3295910206558
80.000000000000	80.021944572147	1.3418580133842
81.000000000000	81.022525965474	1.3510969400749
82.000000000000	82.023018101529	1.3574213168348
83.000000000000	83.023419743322	1.3609388011668
84.000000000000	84.023730234207	1.3617515716926
85.000000000000	85.023949462556	1.3599566773726
86.000000000000	86.024077829147	1.3556463587954
87.000000000000	87.024116217020	1.3489083438659
88.000000000000	88.024065963556	1.3398261199907
89.000000000000	89.023928834594	1.3284791846614
90.000000000000	90.023707000401	1.3149432761535
91.000000000000	91.023403062877	1.2992919609911
92.000000000000	92.023019885007	1.2815926802997
93.000000000000	93.022560722404	1.2619111092780
94.000000000000	94.022029154636	1.2403099165668
95.000000000000	95.021429068454	1.2168489161263
96.000000000000	96.020764642189	1.1915852066019
97.000000000000	97.020040331242	1.1645732990308
98.000000000000	98.019260854608	1.1358652336617
99.000000000000	99.018431182412	1.1055106865816
100.00000000000	100.01755652438	1.0735570667758
101.00000000000	101.01664231927	1.0400496041825
102.00000000000	102.01569422518	1.0050314292435
103.00000000000	103.01471811078	0.96854364439725
104.00000000000	104.01372004744	0.93062538791136
105.00000000000	105.01270630224	0.89131389039770
106.00000000000	106.01168333190	0.85064452431281
107.00000000000	107.01065777765	0.80865084669982
108.00000000000	108.00963646101	0.76536463538541
109.00000000000	109.00862638063	0.72081591880680
110.00000000000	110.00763471011	0.67503299960140
111.00000000000	111.00666879688	0.62804247205401
112.00000000000	112.00573616230	0.57986923345583
113.00000000000	113.00484450287	0.53053648939101
114.00000000000	114.00400169279	0.48006575292379
115.00000000000	115.00321578792	0.42847683761940
116.00000000000	116.00249503113	0.37578784428602
117.00000000000	117.00184785931	0.32201514127985
118.00000000000	118.00128291214	0.26717333816526
119.00000000000	119.00080904266	0.21127525246853
120.00000000000	120.00043532993	0.15433186920598
121.00000000000	121.00017109398	0.096352292803014
122.00000000000	122.00002591309	0.037343690951004
123.00000000000	123.00000964388	-0.022688770130102
124.00000000000	124.00013244436	-0.083741999642539
125.00000000000	125.00040480020	-0.14581506609306
126.00000000000	126.00083755475	-0.20890929193649
127.00000000000	127.00144194299	-0.27302835993751
128.00000000000	128.00222963014	-0.33817843235263
129.00000000000	129.00321275519	-0.40436828420148
130.00000000000	130.00440398016	-0.47160945208838
131.00000000000	131.00581654568	-0.53991640025787
132.00000000000	132.00746433378	-0.60930670582608
133.00000000000	133.00936193868	-0.67980126543123
134.00000000000	134.01152474687	-0.75142452589832
135.00000000000	135.01396902751	-0.82420474192864
136.00000000000	136.01671203483	-0.89817426431068
137.00000000000	137.01977212405	-0.97336986272840
138.00000000000	138.02316888297	-1.0498330879278
139.00000000000	139.02692328161	-1.1276106788217
140.00000000000	140.03105784253	-1.2067550210925
141.00000000000	141.03559683546	-1.2873246650302
142.00000000000	142.04056649995	-1.3693849117693
143.00000000000	143.04599530098	-1.4530084788128
144.00000000000	144.05191422322	-1.5382762578408
145.00000000000	145.05835711078	-1.6252781803820
146.00000000000	146.06536106114	-1.7141142101090
147.00000000000	147.07296688320	-1.8048954844570
148.00000000000	148.08121963238	-1.8977456331812
149.00000000000	149.09016923822	-1.9928023076227
150.00000000000	150.09987124393	-2.0902189622285
151.00000000000	151.11038768211	-2.1901669397499
152.00000000000	152.12178811722	-2.2928379241875
153.00000000000	153.13415089343	-2.3984468418713
154.00000000000	154.14756463756	-2.5072353122905
155.00000000000	155.16213008075	-2.6194757781504
156.00000000000	156.17796228204	-2.7354764810485
157.00000000000	157.19519336281	-2.8555874985779
158.00000000000	158.21397589684	-2.9802081255200
159.00000000000	159.23448715009	-3.1097959733252
160.00000000000	160.25693443374	-3.2448782889784
161.00000000000	161.28156193315	-3.3860661727126
162.00000000000	162.30865951893	-3.5340726284655
163.00000000000	163.33857425708	-3.6897357498397
164.00000000000	164.37172565261	-3.8540488886012
165.00000000000	165.40862614552	-4.0282004715010
166.00000000000	166.44990913800	-4.2136273893242
167.00000000000	167.49636805052	-4.4120878611173
168.00000000000	168.54901191682	-4.6257628712730
169.00000000000	169.60914645178	-4.8574005843030
170.00000000000	170.67849556063	-5.1105272424211
171.00000000000	171.75938931041	-5.3897642094868
172.00000000000	172.85506553006	-5.7013206190390
173.00000000000	173.97017464167	-6.0537882086945
174.00000000000	175.11166689842	-6.4594783633311
175.00000000000	176.29043906857	-6.9367697044447
176.00000000000	177.52455889454	-7.5143567254491
177.00000000000	178.84568686030	-8.2385656500536
178.00000000000	180.30861862574	-9.1784629231076
179.00000000000	181.94559373108	-10.323832363132
180.00000000000	183.19583063096	-10.717786352180
181.00000000000	181.60600077509	-9.7180808890021
182.00000000000	180.04995185756	-8.6541789813219
