#Parameters = {ADD=-10.5; Antenna_len=49.973684210526; Antenna_ofset=0.5; Antenna_radius=0.4; Bend_Add=-20; C1=500; C2=300; D2Device=2.25; Feed_Point_v=24.5; L1=24; LenAntenna=-10.584073464102; Offset2mid=2; TransformPAR=20.5; Turn_Radius=1; Turns=5; addlen=2; c=300000000; copperthickness=0.3; f=1900000000; lambda=0.15789473684211; u_feed_point=10; add1=0}
#"Frequency / MHz"	"S3,3 (103) [Real/Imaginary Part] [Re]"	"S3,3 (103) [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------------------
1500.0000000000	0.47243550419807	0.83641690015793
1501.5000000000	0.47796273231506	0.83166617155075
1503.0000000000	0.48327353596687	0.82689315080643
1504.5000000000	0.48836937546730	0.82211154699326
1506.0000000000	0.49325332045555	0.81733447313309
1507.5000000000	0.49792897701263	0.81257510185242
1509.0000000000	0.50240081548691	0.80784589052200
1510.5000000000	0.50667452812195	0.80315893888474
1512.0000000000	0.51075667142868	0.79852598905563
1513.5000000000	0.51465421915054	0.79395794868469
1515.0000000000	0.51837557554245	0.78946512937546
1516.5000000000	0.52192938327789	0.78505724668503
1518.0000000000	0.52532511949539	0.78074318170547
1519.5000000000	0.52857249975204	0.77653092145920
1521.0000000000	0.53168261051178	0.77242773771286
1522.5000000000	0.53466558456421	0.76844006776810
1524.0000000000	0.53753346204758	0.76457321643829
1525.5000000000	0.54029726982117	0.76083183288574
1527.0000000000	0.54296922683716	0.75721943378448
1528.5000000000	0.54556095600128	0.75373882055283
1530.0000000000	0.54808473587036	0.75039148330688
1531.5000000000	0.55055236816406	0.74717843532562
1533.0000000000	0.55297571420670	0.74409931898117
1534.5000000000	0.55536657571793	0.74115318059921
1536.0000000000	0.55773657560349	0.73833799362183
1537.5000000000	0.56009674072266	0.73565101623535
1539.0000000000	0.56245815753937	0.73308855295181
1540.5000000000	0.56483113765717	0.73064601421356
1542.0000000000	0.56722545623779	0.72831845283508
1543.5000000000	0.56965070962906	0.72609966993332
1545.0000000000	0.57211565971375	0.72398334741592
1546.5000000000	0.57462853193283	0.72196221351624
1548.0000000000	0.57719653844833	0.72002840042114
1549.5000000000	0.57982677221298	0.71817392110825
1551.0000000000	0.58252543210983	0.71639001369476
1552.5000000000	0.58529734611511	0.71466767787933
1554.0000000000	0.58814716339111	0.71299749612808
1555.5000000000	0.59107851982117	0.71137017011642
1557.0000000000	0.59409433603287	0.70977586507797
1558.5000000000	0.59719693660736	0.70820468664169
1560.0000000000	0.60038703680038	0.70664685964584
1561.5000000000	0.60366517305374	0.70509254932404
1563.0000000000	0.60703110694885	0.70353209972382
1564.5000000000	0.61048352718353	0.70195585489273
1566.0000000000	0.61402058601379	0.70035445690155
1567.5000000000	0.61763924360275	0.69871890544891
1569.0000000000	0.62133657932281	0.69704037904739
1570.5000000000	0.62510794401169	0.69531065225601
1572.0000000000	0.62894904613495	0.69352167844772
1573.5000000000	0.63285440206528	0.69166606664658
1575.0000000000	0.63681793212891	0.68973702192307
1576.5000000000	0.64083349704742	0.68772804737091
1578.0000000000	0.64489394426346	0.68563342094421
1579.5000000000	0.64899230003357	0.68344813585281
1581.0000000000	0.65312069654465	0.68116760253906
1582.5000000000	0.65727150440216	0.67878830432892
1584.0000000000	0.66143625974655	0.67630684375763
1585.5000000000	0.66560679674149	0.67372107505798
1587.0000000000	0.66977471113205	0.67102926969528
1588.5000000000	0.67393141984940	0.66823059320450
1590.0000000000	0.67806828022003	0.66532474756241
1591.5000000000	0.68217700719833	0.66231226921082
1593.0000000000	0.68624925613403	0.65919423103333
1594.5000000000	0.69027674198151	0.65597265958786
1596.0000000000	0.69425159692764	0.65265005826950
1597.5000000000	0.69816595315933	0.64922952651978
1599.0000000000	0.70201277732849	0.64571505784988
1600.5000000000	0.70578473806381	0.64211076498032
1602.0000000000	0.70947521924973	0.63842177391052
1603.5000000000	0.71307826042175	0.63465350866318
1605.0000000000	0.71658837795258	0.63081175088882
1606.5000000000	0.71999990940094	0.62690293788910
1608.0000000000	0.72330868244171	0.62293374538422
1609.5000000000	0.72651058435440	0.61891114711761
1611.0000000000	0.72960209846497	0.61484259366989
1612.5000000000	0.73258060216904	0.61073547601700
1614.0000000000	0.73544394969940	0.60659766197205
1615.5000000000	0.73819035291672	0.60243695974350
1617.0000000000	0.74081915616989	0.59826129674911
1618.5000000000	0.74332994222641	0.59407889842987
1620.0000000000	0.74572348594666	0.58989709615707
1621.5000000000	0.74800050258636	0.58572405576706
1623.0000000000	0.75016295909882	0.58156752586365
1624.5000000000	0.75221240520477	0.57743555307388
1626.0000000000	0.75415295362473	0.57333403825760
1627.5000000000	0.75598675012589	0.56927162408829
1629.0000000000	0.75771856307983	0.56525403261185
1630.5000000000	0.75935262441635	0.56128805875778
1632.0000000000	0.76089376211166	0.55737972259521
1633.5000000000	0.76234763860703	0.55353432893753
1635.0000000000	0.76372027397156	0.54975658655167
1636.5000000000	0.76501715183258	0.54605203866959
1638.0000000000	0.76624542474747	0.54242372512817
1639.5000000000	0.76741153001785	0.53887593746185
1641.0000000000	0.76852267980576	0.53541135787964
1642.5000000000	0.76958590745926	0.53203243017197
1644.0000000000	0.77060902118683	0.52874046564102
1645.5000000000	0.77159881591797	0.52553731203079
1647.0000000000	0.77256309986115	0.52242344617844
1648.5000000000	0.77350938320160	0.51939862966537
1650.0000000000	0.77444493770599	0.51646286249161
1651.5000000000	0.77537757158279	0.51361411809921
1653.0000000000	0.77631396055222	0.51085120439529
1654.5000000000	0.77726143598557	0.50817173719406
