#Parameters = {ground_length=78; ground_thickness=0.3; ground_width=28; offset_in_v=3; wire_height=13.286; wire_length=112.8296; wire_thickness=2.1028}
#"Frequency / MHz"	"S1,1 [Magnitude]"
#------------------------------------
500.00000000000	0.19818729966944
502.50000000000	0.20666062683475
505.00000000000	0.21305047078140
507.50000000000	0.21731561686935
510.00000000000	0.21942101448366
512.50000000000	0.21933931388232
515.00000000000	0.21705311756862
517.50000000000	0.21254745834854
520.00000000000	0.20581568721589
522.50000000000	0.19686066266623
525.00000000000	0.18568720790986
527.50000000000	0.17230889345918
530.00000000000	0.15674740330264
532.50000000000	0.13902690443895
535.00000000000	0.11918038106641
537.50000000000	0.097247646513224
540.00000000000	0.073270653394649
542.50000000000	0.047303613645586
545.00000000000	0.019403007381317
547.50000000000	-0.010368027408357
550.00000000000	-0.041941366315199
552.50000000000	-0.075240026602832
555.00000000000	-0.11018444134576
557.50000000000	-0.14668574955381
560.00000000000	-0.18465113064273
562.50000000000	-0.22398225127779
565.00000000000	-0.26457448817290
567.50000000000	-0.30631626365979
570.00000000000	-0.34909266842800
572.50000000000	-0.39278414388428
575.00000000000	-0.43726411767851
577.50000000000	-0.48240171082140
580.00000000000	-0.52806254805811
582.50000000000	-0.57410870398747
585.00000000000	-0.62039734874589
587.50000000000	-0.66678299368023
590.00000000000	-0.71311956085620
592.50000000000	-0.75925705123328
595.00000000000	-0.80504560462378
597.50000000000	-0.85033210835411
600.00000000000	-0.89496787918504
602.50000000000	-0.93880517890085
605.00000000000	-0.98169261656939
607.50000000000	-1.0234911682115
610.00000000000	-1.0640557250185
612.50000000000	-1.1032550082073
615.00000000000	-1.1409571889926
617.50000000000	-1.1770395631538
620.00000000000	-1.2113902566422
622.50000000000	-1.2438997725645
625.00000000000	-1.2744742644878
627.50000000000	-1.3030255958417
630.00000000000	-1.3294790235336
632.50000000000	-1.3537706808749
635.00000000000	-1.3758504922729
637.50000000000	-1.3956766820073
640.00000000000	-1.4132247139546
642.50000000000	-1.4284808744910
645.00000000000	-1.4414423915312
647.50000000000	-1.4521220166944
650.00000000000	-1.4605450177774
652.50000000000	-1.4667462962642
655.00000000000	-1.4707722308897
657.50000000000	-1.4726834625366
660.00000000000	-1.4725480395051
662.50000000000	-1.4704411319409
665.00000000000	-1.4664508954307
667.50000000000	-1.4606707794083
670.00000000000	-1.4532015524790
672.50000000000	-1.4441493567675
675.00000000000	-1.4336216537999
677.50000000000	-1.4217358345988
680.00000000000	-1.4086078120777
682.50000000000	-1.3943559558583
685.00000000000	-1.3790999057081
687.50000000000	-1.3629581092018
690.00000000000	-1.3460508317147
692.50000000000	-1.3284952604481
695.00000000000	-1.3104078364851
697.50000000000	-1.2918998268830
700.00000000000	-1.2730805312275
702.50000000000	-1.2540563967155
705.00000000000	-1.2349280285992
707.50000000000	-1.2157925420251
710.00000000000	-1.1967438494159
712.50000000000	-1.1778673915170
715.00000000000	-1.1592457689231
717.50000000000	-1.1409574036604
720.00000000000	-1.1230700324334
722.50000000000	-1.1056519324193
725.00000000000	-1.0887635998293
727.50000000000	-1.0724581917720
730.00000000000	-1.0567847651006
732.50000000000	-1.0417886223762
735.00000000000	-1.0275072412102
737.50000000000	-1.0139725505495
740.00000000000	-1.0012137520173
742.50000000000	-0.98925298943008
745.00000000000	-0.97810756210824
747.50000000000	-0.96779236575581
750.00000000000	-0.95831411951966
752.50000000000	-0.94967832827117
755.00000000000	-0.94188400447606
757.50000000000	-0.93492730923368
760.00000000000	-0.92880060321482
762.50000000000	-0.92349178883849
765.00000000000	-0.91898614497371
767.50000000000	-0.91526481920392
770.00000000000	-0.91230604006448
772.50000000000	-0.91008637317420
775.00000000000	-0.90857848435549
777.50000000000	-0.90775238297288
780.00000000000	-0.90757686227482
782.50000000000	-0.90801848089107
785.00000000000	-0.90904169273271
787.50000000000	-0.91060892507545
