#Parameters = {L=80; N=5; dist=100; gap=5; r=1}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
0.0000000000000	0.0000000000000
0.0015000000130385	-3.3674753685920e-07
0.0030000000260770	-8.2873637668053e-07
0.0044999998062849	-9.5663202500747e-07
0.0060000000521541	-3.3062449359633e-06
0.0074999998323619	-4.2498811584768e-06
0.0089999996125698	-6.3709630606126e-06
0.010499999858439	-8.1107482770869e-06
0.012000000104308	-1.1532817724106e-05
0.013500000350177	-1.3521826243872e-05
0.014999999664724	-1.7693820320792e-05
0.016499999910593	-2.0413424107291e-05
0.017999999225140	-2.3739304221394e-05
0.019500000402331	-2.7658887290685e-05
0.020999999716878	-3.2158588363842e-05
0.022500000894070	-3.6703843535340e-05
0.024000000208616	-4.1278646630058e-05
0.025499999523163	-4.5867122008295e-05
0.027000000700355	-5.0444887468378e-05
0.028500000014901	-5.5510633302419e-05
0.029999999329448	-6.0527574662122e-05
0.031500000506639	-6.5471413703980e-05
0.032999999821186	-7.0830592311790e-05
0.034499999135733	-7.6581788697294e-05
0.035999998450279	-8.1665148998492e-05
0.037500001490116	-8.6563050478106e-05
0.039000000804663	-9.2282684335364e-05
0.040500000119209	-9.6202574177756e-05
0.041999999433756	-0.00010191393794020
0.043499998748302	-0.00010626999425549
0.045000001788139	-0.00011131593125454
0.046500001102686	-0.00011596141023447
0.048000000417233	-0.00012121952932007
0.049499999731779	-0.00012495866225891
0.050999999046326	-0.00012973949274422
0.052499998360872	-0.00013291194015266
0.054000001400709	-0.00013755529799546
0.055500000715256	-0.00014101598130296
0.057000000029802	-0.00014480739929681
0.058499999344349	-0.00014834664890822
0.059999998658895	-0.00015159590892923
0.061500001698732	-0.00015551645341850
0.063000001013279	-0.00015853139779410
0.064499996602535	-0.00016210306623883
0.065999999642372	-0.00016514552147026
0.067500002682209	-0.00016863459443529
0.068999998271465	-0.00017147041692323
0.070500001311302	-0.00017411650569561
0.071999996900558	-0.00017699713496655
0.073499999940395	-0.00018059766951661
0.075000002980232	-0.00018327149984293
0.076499998569489	-0.00018651263977159
0.078000001609325	-0.00018972704975855
0.079499997198582	-0.00019334830281306
0.081000000238419	-0.00019732880961419
0.082500003278255	-0.00020104118247918
0.083999998867512	-0.00020598596365263
0.085500001907349	-0.00021001863032783
0.086999997496605	-0.00021510675134089
0.088500000536442	-0.00022065993797828
0.090000003576279	-0.00022660899311511
0.091499999165535	-0.00023183251666144
0.093000002205372	-0.00023880250100582
0.094499997794628	-0.00024641773549613
0.096000000834465	-0.00025460397545635
0.097499996423721	-0.00026172986528619
0.098999999463558	-0.00027178871709072
0.10050000250340	-0.00028164118652163
0.10199999809265	-0.00029168592729677
0.10350000113249	-0.00030338004376523
0.10499999672174	-0.00031512299246128
0.10649999976158	-0.00032778262251295
0.10800000280142	-0.00034231673020660
0.10949999839067	-0.00035710362010214
0.11100000143051	-0.00037253011025458
0.11249999701977	-0.00038854822850392
0.11400000005960	-0.00040603272502350
0.11550000309944	-0.00042436078790954
0.11699999868870	-0.00044450408681501
0.11850000172853	-0.00046424287153275
0.11999999731779	-0.00048554727084645
0.12150000035763	-0.00050832154168664
0.12300000339746	-0.00053140490575271
0.12449999898672	-0.00055576437684332
0.12600000202656	-0.00058169984119887
0.12749999761581	-0.00060868959453565
0.12899999320507	-0.00063651879693640
0.13050000369549	-0.00066464347278013
0.13199999928474	-0.00069490375002939
0.13349999487400	-0.00072571210750851
0.13500000536442	-0.00075737520089124
0.13650000095367	-0.00079084858556305
0.13799999654293	-0.00082498053632163
0.13950000703335	-0.00085958556955443
0.14100000262260	-0.00089561595032491
0.14249999821186	-0.00093338876551014
0.14399999380112	-0.00097174539325030
0.14550000429153	-0.0010100603916295
0.14699999988079	-0.0010506979531088
0.14849999547005	-0.0010914804892643
0.15000000596046	-0.0011343382290249
0.15150000154972	-0.0011785852359100
0.15299999713898	-0.0012225487707962
0.15449999272823	-0.0012675092134600
0.15600000321865	-0.0013139232460762
0.15749999880791	-0.0013615463820367
0.15899999439716	-0.0014102713418841
0.16050000488758	-0.0014598761913326
0.16200000047684	-0.0015106976045066
0.16349999606609	-0.0015636323535211
0.16500000655651	-0.0016159283409130
0.16650000214577	-0.0016698731444908
0.16799999773502	-0.0017259415468610
0.16949999332428	-0.0017827664360164
0.17100000381470	-0.0018413240114280
0.17249999940395	-0.0019008358809405
0.17399999499321	-0.0019615557829987
0.17550000548363	-0.0020233874739788
0.17700000107288	-0.0020875831468675
0.17849999666214	-0.0021535409149049
0.18000000715256	-0.0022204349677099
0.18150000274181	-0.0022891333447090
0.18299999833107	-0.0023599024853578
0.18449999392033	-0.0024325371354495
0.18600000441074	-0.0025063631651778
0.18750000000000	-0.0025831391932790
0.18899999558926	-0.0026616857892097
0.19050000607967	-0.0027427539421385
0.19200000166893	-0.0028261599825004
0.19349999725819	-0.0029121483469700
0.19499999284744	-0.0030000323079809
0.19650000333786	-0.0030910472220042
0.19799999892712	-0.0031835770767084
0.19949999451637	-0.0032813398613208
0.20100000500679	-0.0033795874587463
0.20250000059605	-0.0034821732338157
0.20399999618530	-0.0035877548906751
0.20550000667572	-0.0036966242029793
0.20700000226498	-0.0038091452657548
0.20849999785423	-0.0039245402180528
0.20999999344349	-0.0040440100871193
0.21150000393391	-0.0041674930770037
0.21299999952316	-0.0042945457135523
0.21449999511242	-0.0044255210427012
0.21600000560284	-0.0045608499363511
0.21750000119209	-0.0046999207473485
0.21899999678135	-0.0048429020000066
0.22050000727177	-0.0049913047660122
