#Parameters = {A_R=0.4; A_i=0; A_j=-65; A_k=0; PVA_i=-13.2; PVA_j=37; PVA_k=0}
#"Frequency / MHz"	"S1,1 [Magnitude]"
#------------------------------------
500.00000000000	-0.0064971048313568
502.50000000000	-0.014485652120950
505.00000000000	-0.022400875036173
507.50000000000	-0.030209513104634
510.00000000000	-0.037883270197462
512.50000000000	-0.045391562707755
515.00000000000	-0.052709876279705
517.50000000000	-0.059810847451504
520.00000000000	-0.066670851009665
522.50000000000	-0.073266583887059
525.00000000000	-0.079577956498642
527.50000000000	-0.085585797160224
530.00000000000	-0.091271460044176
532.50000000000	-0.096621569368976
535.00000000000	-0.10162100742020
537.50000000000	-0.10625818853199
540.00000000000	-0.11052265475110
542.50000000000	-0.11440743956098
545.00000000000	-0.11790565057497
547.50000000000	-0.12101288438608
550.00000000000	-0.12372778542601
552.50000000000	-0.12604819630644
555.00000000000	-0.12797669326957
557.50000000000	-0.12951515202603
560.00000000000	-0.13066711999368
562.50000000000	-0.13143999908900
565.00000000000	-0.13183993108228
567.50000000000	-0.13187682457462
570.00000000000	-0.13156083377692
572.50000000000	-0.13090092762175
575.00000000000	-0.12991215636241
577.50000000000	-0.12860574959555
580.00000000000	-0.12699851958473
582.50000000000	-0.12510371093922
585.00000000000	-0.12293816437702
587.50000000000	-0.12051839334240
590.00000000000	-0.11786095740190
592.50000000000	-0.11498366972641
595.00000000000	-0.11190381101944
597.50000000000	-0.10864058845430
600.00000000000	-0.10521139624151
602.50000000000	-0.10163410513323
605.00000000000	-0.097928967871248
607.50000000000	-0.094114051953638
610.00000000000	-0.090204515406285
612.50000000000	-0.086221297765226
615.00000000000	-0.082182539927734
617.50000000000	-0.078103213632774
620.00000000000	-0.074001153688796
622.50000000000	-0.069891902111302
625.00000000000	-0.065793359840324
627.50000000000	-0.061721095945419
630.00000000000	-0.057687777943343
632.50000000000	-0.053709777473694
635.00000000000	-0.049797569933154
637.50000000000	-0.045967728520951
640.00000000000	-0.042232175091542
642.50000000000	-0.038602079796752
645.00000000000	-0.035087344571403
647.50000000000	-0.031698471809393
650.00000000000	-0.028447789613615
652.50000000000	-0.025341259235547
655.00000000000	-0.022386545706187
657.50000000000	-0.019592804962881
660.00000000000	-0.016967912464831
662.50000000000	-0.014516634364715
665.00000000000	-0.012244327850545
667.50000000000	-0.010155494074018
670.00000000000	-0.0082549196394969
672.50000000000	-0.0065462302122679
675.00000000000	-0.0050309271607256
677.50000000000	-0.0037138612048006
680.00000000000	-0.0025958200011000
682.50000000000	-0.0016762181443050
685.00000000000	-0.00095725340173326
687.50000000000	-0.00043980086845537
690.00000000000	-0.00011988604423544
692.50000000000	-4.5141668833008e-07
695.00000000000	-7.8796092799190e-05
697.50000000000	-0.00035249583381944
700.00000000000	-0.00081994978484575
702.50000000000	-0.0014779867357662
705.00000000000	-0.0023228398698357
707.50000000000	-0.0033524877988951
710.00000000000	-0.0045637247913215
712.50000000000	-0.0059507223876558
715.00000000000	-0.0075072728179380
717.50000000000	-0.0092315502096818
720.00000000000	-0.011117852788006
722.50000000000	-0.013161129925775
725.00000000000	-0.015352971319259
727.50000000000	-0.017690320643625
730.00000000000	-0.020166235384726
732.50000000000	-0.022772280072603
735.00000000000	-0.025504579460786
737.50000000000	-0.028355071252621
740.00000000000	-0.031317540886736
742.50000000000	-0.034383354440677
745.00000000000	-0.037543961225538
747.50000000000	-0.040796799814162
750.00000000000	-0.044129183459715
752.50000000000	-0.047536044224381
755.00000000000	-0.051008166346949
757.50000000000	-0.054537187789436
760.00000000000	-0.058116058929144
762.50000000000	-0.061737622369445
765.00000000000	-0.065390593443449
767.50000000000	-0.069068603852986
770.00000000000	-0.072764634784651
772.50000000000	-0.076467995246694
775.00000000000	-0.080169390967558
777.50000000000	-0.083865556302802
780.00000000000	-0.087543990832446
782.50000000000	-0.091195579756680
785.00000000000	-0.094816142248039
787.50000000000	-0.098396654671211
790.00000000000	-0.10192641640961
792.50000000000	-0.10540087043131
795.00000000000	-0.10881182878075
797.50000000000	-0.11215063899087
800.00000000000	-0.11541070449476
802.50000000000	-0.11858545544019
805.00000000000	-0.12166810843147
807.50000000000	-0.12465296744310
810.00000000000	-0.12753251201254
812.50000000000	-0.13030099901788
815.00000000000	-0.13295390690748
817.50000000000	-0.13548544616568
